team,elo
Argentina,2145
Spain,2137
France,2093
England,2025
Colombia,2006
Portugal,2004
Netherlands,1995
Brazil,1988
Germany,1961
Norway,1957
Japan,1931
Switzerland,1921
Mexico,1896
Croatia,1894
Belgium,1867
Morocco,1866
Ecuador,1864
Uruguay,1851
Austria,1841
United States,1833
Senegal,1823
Turkey,1812
Australia,1801
Paraguay,1801
South Korea,1772
Scotland,1768
Algeria,1767
Iran,1766
Canada,1760
Egypt,1740
Sweden,1730
Cote d'Ivoire,1729
Czechia,1696
DR Congo,1675
Panama,1669
Uzbekistan,1658
Jordan,1631
Cape Verde,1625
Bosnia and Herzegovina,1615
Iraq,1590
Ghana,1584
Saudi Arabia,1583
New Zealand,1550
Tunisia,1538
South Africa,1528
Haiti,1526
Curacao,1446
Qatar,1400
