team,elo
Argentina,2114
Australia,1777
Algeria,1760
Austria,1830
Belgium,1893
Bosnia and Herzegovina,1595
Brazil,1991
Canada,1788
Cape Verde,1578
Colombia,1982
Cote d'Ivoire,1695
Croatia,1911
Curacao,1434
Czechia,1740
DR Congo,1661
Ecuador,1938
Egypt,1696
England,2021
France,2063
Germany,1932
Ghana,1510
Haiti,1548
Iran,1772
Iraq,1618
Japan,1906
Jordan,1680
Mexico,1875
Morocco,1827
Netherlands,1948
New Zealand,1562
Norway,1914
Panama,1730
Paraguay,1833
Portugal,1986
Qatar,1421
Saudi Arabia,1569
Scotland,1782
Senegal,1867
South Africa,1518
South Korea,1758
Spain,2157
Sweden,1712
Switzerland,1891
Tunisia,1628
Turkey,1911
United States,1726
Uruguay,1892
Uzbekistan,1714
