team,american_odds,as_of_date
Spain,475,2026-05-18
France,500,2026-05-18
England,650,2026-05-18
Brazil,800,2026-05-18
Argentina,900,2026-05-18
Portugal,1000,2026-05-18
Germany,1400,2026-05-18
Netherlands,2000,2026-05-18
Norway,3000,2026-05-18
Belgium,3500,2026-05-18
Colombia,4000,2026-05-18
Morocco,5000,2026-05-18
United States,6000,2026-05-18
Japan,6500,2026-05-18
Uruguay,6500,2026-05-18
Switzerland,6500,2026-05-18
Mexico,8000,2026-05-18
Ecuador,8000,2026-05-18
Croatia,8000,2026-05-18
Senegal,9000,2026-05-18
Turkey,10000,2026-05-18
Sweden,10000,2026-05-18
Austria,15000,2026-05-18
Canada,20000,2026-05-18
Scotland,20000,2026-05-18
Czechia,25000,2026-05-18
Cote d'Ivoire,25000,2026-05-18
Paraguay,30000,2026-05-18
Egypt,30000,2026-05-18
Ghana,30000,2026-05-18
Algeria,35000,2026-05-18
South Korea,40000,2026-05-18
Bosnia and Herzegovina,50000,2026-05-18
Australia,60000,2026-05-18
Tunisia,70000,2026-05-18
Iran,70000,2026-05-18
DR Congo,100000,2026-05-18
South Africa,100000,2026-05-18
Saudi Arabia,100000,2026-05-18
Panama,100000,2026-05-18
Cape Verde,100000,2026-05-18
Qatar,150000,2026-05-18
Iraq,150000,2026-05-18
New Zealand,150000,2026-05-18
Uzbekistan,150000,2026-05-18
Curacao,250000,2026-05-18
Jordan,250000,2026-05-18
Haiti,250000,2026-05-18
