team,group,confederation,title_elo,title_value,title_fifa,market
Argentina,J,CONMEBOL,27.56,4.84,20.2,8.48
Spain,H,UEFA,19.38,13.35,18.73,14.75
France,I,UEFA,17.08,15.98,22.42,14.13
England,L,UEFA,8.69,20.24,10.08,11.31
Brazil,C,CONMEBOL,7.12,6.11,3.0,9.42
Portugal,K,UEFA,5.39,7.81,3.44,7.71
Netherlands,F,UEFA,4.75,4.27,2.48,4.04
Belgium,G,UEFA,2.65,2.29,2.15,2.36
Germany,E,UEFA,1.74,6.83,1.51,5.65
Colombia,K,CONMEBOL,1.15,0.28,0.68,2.07
Mexico,A,CONCACAF,1.08,0.1,4.6,1.05
United States,D,CONCACAF,0.92,5.99,4.41,1.39
Croatia,L,UEFA,0.92,0.61,1.02,1.05
Morocco,C,CAF,0.51,1.0,2.76,1.66
Uruguay,H,CONMEBOL,0.25,0.92,0.46,1.28
Switzerland,B,UEFA,0.24,0.53,0.31,1.28
Senegal,I,CAF,0.14,1.06,0.68,0.93
Japan,F,AFC,0.08,0.17,0.29,1.28
Canada,B,CONCACAF,0.07,0.39,0.38,0.42
Ecuador,E,CONMEBOL,0.07,0.6,0.07,1.05
Norway,I,UEFA,0.05,1.57,0.0,2.74
Austria,J,UEFA,0.05,0.16,0.02,0.56
Iran,G,AFC,0.03,0.0,0.04,0.12
South Korea,A,AFC,0.02,0.05,0.07,0.21
Turkey,D,UEFA,0.02,1.88,0.1,0.84
Bosnia and Herzegovina,B,UEFA,0.01,0.0,0.0,0.17
Scotland,C,UEFA,0.01,0.09,0.01,0.42
Egypt,G,CAF,0.01,0.0,0.01,0.28
Panama,L,CONCACAF,0.01,0.0,0.0,0.08
South Africa,A,CAF,0.0,0.0,0.0,0.08
Czechia,A,UEFA,0.0,0.09,0.0,0.34
Qatar,B,AFC,0.0,0.0,0.0,0.06
Haiti,C,CONCACAF,0.0,0.0,0.0,0.03
Paraguay,D,CONMEBOL,0.0,0.02,0.0,0.28
Australia,D,AFC,0.0,0.0,0.05,0.14
Curacao,E,CONCACAF,0.0,0.0,0.0,0.03
Cote d'Ivoire,E,CAF,0.0,1.44,0.01,0.34
Sweden,F,UEFA,0.0,0.95,0.0,0.84
Tunisia,F,CAF,0.0,0.0,0.0,0.12
New Zealand,G,OFC,0.0,0.0,0.0,0.06
Cape Verde,H,CAF,0.0,0.01,0.0,0.08
Saudi Arabia,H,AFC,0.0,0.0,0.0,0.08
Iraq,I,AFC,0.0,0.0,0.0,0.06
Algeria,J,CAF,0.0,0.12,0.02,0.24
Jordan,J,AFC,0.0,0.0,0.0,0.03
DR Congo,K,CAF,0.0,0.01,0.0,0.08
Uzbekistan,K,AFC,0.0,0.0,0.0,0.06
Ghana,L,CAF,0.0,0.24,0.0,0.28
