engine,team,group,p_qualify,p_win_group,p_reach_qf,p_win_title,rank_win_title,rank_qualify,rank_reach_qf,rank_win_group
Model,Mexico,A,100.0,100.0,25.79,1.17,10,1,13,1
Model,South Africa,A,5.82,0.0,0.01,0.0,23,42,42,38
Model,South Korea,A,99.07,0.0,3.84,0.0,23,16,23,38
Model,Czechia,A,5.93,0.0,0.25,0.0,23,41,35,38
Model,Canada,B,99.89,62.34,25.01,0.23,15,12,15,12
Model,Bosnia and Herzegovina,B,49.77,1.44,0.39,0.0,23,33,34,28
Model,Qatar,B,9.73,0.0,0.01,0.0,23,39,42,38
Model,Switzerland,B,100.0,36.22,25.02,0.26,14,1,14,13
Model,Brazil,C,100.0,68.91,42.3,2.3,6,1,8,10
Model,Morocco,C,100.0,30.16,15.86,0.1,18,1,17,15
Model,Haiti,C,0.0,0.0,0.0,0.0,23,47,44,38
Model,Scotland,C,79.44,0.93,1.46,0.0,23,29,31,30
Model,United States,D,100.0,100.0,54.13,0.83,11,1,5,1
Model,Paraguay,D,86.24,0.0,3.8,0.0,23,25,24,38
Model,Australia,D,95.14,0.0,3.59,0.0,23,21,25,38
Model,Turkey,D,0.0,0.0,0.0,0.0,23,47,44,38
Model,Germany,E,99.99,76.84,28.04,1.41,9,9,11,8
Model,Curacao,E,0.65,0.0,0.0,0.0,23,45,44,38
Model,Cote d'Ivoire,E,99.14,17.11,3.57,0.0,23,15,26,18
Model,Ecuador,E,90.35,6.05,14.3,0.11,17,24,18,23
Model,Netherlands,F,100.0,83.2,52.1,2.9,5,1,6,6
Model,Japan,F,97.77,15.34,17.37,0.21,16,18,16,19
Model,Sweden,F,92.56,1.42,1.87,0.0,23,23,29,29
Model,Tunisia,F,0.64,0.04,0.0,0.0,23,46,44,37
Model,Belgium,G,97.9,69.17,27.03,0.29,13,17,12,9
Model,Egypt,G,83.55,19.86,2.82,0.0,23,27,27,16
Model,Iran,G,50.05,9.46,1.58,0.0,23,32,30,21
Model,New Zealand,G,18.4,1.51,0.11,0.0,23,38,38,25
Model,Spain,H,99.48,84.91,72.32,26.8,2,13,3,5
Model,Cape Verde,H,47.89,1.51,0.43,0.0,23,34,32,25
Model,Saudi Arabia,H,36.24,1.49,0.17,0.0,23,36,37,27
Model,Uruguay,H,85.08,12.09,10.92,0.06,20,26,19,20
Model,France,I,99.99,81.73,76.12,19.47,3,9,2,7
Model,Senegal,I,80.98,0.67,10.65,0.03,22,28,20,32
Model,Iraq,I,1.61,0.0,0.0,0.0,23,44,44,38
Model,Norway,I,99.29,17.6,33.79,0.83,11,14,10,17
Model,Argentina,J,100.0,93.46,78.79,27.46,1,1,1,4
Model,Algeria,J,62.43,0.26,2.33,0.0,23,30,28,34
Model,Austria,J,97.39,6.28,8.36,0.06,20,19,21,22
Model,Jordan,J,6.11,0.0,0.02,0.0,23,40,41,38
Model,Portugal,K,93.41,33.91,34.73,1.92,8,22,9,14
Model,DR Congo,K,44.07,1.74,0.41,0.0,23,35,33,24
Model,Uzbekistan,K,28.84,0.09,0.1,0.0,23,37,39,36
Model,Colombia,K,99.94,64.26,47.41,2.15,7,11,7,11
Model,England,L,100.0,98.73,65.15,11.31,4,1,4,3
Model,Croatia,L,95.24,0.84,7.8,0.1,18,20,22,31
Model,Ghana,L,55.07,0.29,0.2,0.0,23,31,36,33
Model,Panama,L,4.91,0.14,0.05,0.0,23,43,40,35
Elo,Mexico,A,100.0,100.0,36.1,3.04,7,1,9,1
Elo,South Africa,A,8.16,0.0,0.02,0.0,30,42,44,41
Elo,South Korea,A,98.85,0.0,5.69,0.01,25,15,25,41
Elo,Czechia,A,5.74,0.0,0.27,0.0,30,43,37,41
Elo,Canada,B,99.83,64.23,30.1,0.56,13,11,11,11
Elo,Bosnia and Herzegovina,B,42.56,1.61,0.38,0.0,30,34,35,28
Elo,Qatar,B,15.89,0.0,0.03,0.0,30,39,42,41
Elo,Switzerland,B,100.0,34.16,26.79,0.36,15,1,13,13
Elo,Brazil,C,100.0,66.12,38.69,2.68,8,1,8,10
Elo,Morocco,C,100.0,32.47,15.31,0.21,19,1,17,14
Elo,Haiti,C,0.0,0.0,0.0,0.0,30,47,46,41
Elo,Scotland,C,83.37,1.41,2.39,0.02,24,26,30,30
Elo,United States,D,100.0,100.0,55.99,1.64,9,1,4,1
Elo,Paraguay,D,83.99,0.0,5.73,0.01,25,25,24,41
Elo,Australia,D,95.91,0.0,6.39,0.07,23,19,23,41
Elo,Turkey,D,0.0,0.0,0.0,0.0,30,47,46,41
Elo,Germany,E,99.98,73.61,26.32,1.42,11,7,14,8
Elo,Curacao,E,1.45,0.01,0.0,0.0,30,45,46,40
Elo,Cote d'Ivoire,E,97.87,17.85,3.73,0.01,25,16,27,19
Elo,Ecuador,E,89.65,8.53,14.74,0.26,17,24,18,23
Elo,Netherlands,F,100.0,82.58,48.55,3.77,5,1,7,6
Elo,Japan,F,97.31,15.76,20.43,0.4,14,17,16,20
Elo,Sweden,F,91.79,1.55,2.11,0.0,30,22,31,29
Elo,Tunisia,F,1.24,0.11,0.01,0.0,30,46,45,38
Elo,Belgium,G,94.86,58.92,22.87,0.36,15,20,15,12
Elo,Egypt,G,77.85,19.92,3.43,0.01,25,28,28,17
Elo,Iran,G,61.73,18.02,4.33,0.01,25,30,26,18
Elo,New Zealand,G,24.58,3.14,0.18,0.0,30,38,40,24
Elo,Spain,H,99.3,82.73,67.49,25.32,2,13,3,5
Elo,Cape Verde,H,48.48,2.44,0.63,0.0,30,33,32,25
Elo,Saudi Arabia,H,37.44,1.97,0.32,0.0,30,36,36,26
Elo,Uruguay,H,80.66,12.86,10.53,0.21,19,27,20,21
Elo,France,I,99.87,77.65,72.09,16.72,3,10,2,7
Elo,Senegal,I,74.78,0.92,9.91,0.08,22,29,22,32
Elo,Iraq,I,3.61,0.02,0.03,0.0,30,44,42,39
Elo,Norway,I,99.2,21.41,34.49,0.99,12,14,10,16
Elo,Argentina,J,99.97,90.89,76.0,27.82,1,8,1,4
Elo,Algeria,J,48.7,0.23,2.41,0.0,30,32,29,36
Elo,Austria,J,97.31,8.76,10.72,0.12,21,17,19,22
Elo,Jordan,J,14.12,0.12,0.23,0.0,30,40,39,37
Elo,Portugal,K,89.76,27.18,28.21,1.47,10,23,12,15
Elo,DR Congo,K,42.03,1.87,0.6,0.0,30,35,33,27
Elo,Uzbekistan,K,33.87,0.31,0.51,0.0,30,37,34,34
Elo,Colombia,K,99.66,70.64,50.68,3.62,6,12,6,9
Elo,England,L,99.97,97.71,54.14,8.56,4,8,5,3
Elo,Croatia,L,92.97,1.3,10.01,0.25,18,21,21,31
Elo,Ghana,L,56.93,0.68,0.25,0.0,30,31,38,33
Elo,Panama,L,8.76,0.31,0.17,0.0,30,41,41,34
Squad value,Mexico,A,100.0,100.0,17.09,0.8,16,1,18,1
Squad value,South Africa,A,14.7,0.0,0.07,0.0,30,39,40,38
Squad value,South Korea,A,94.37,0.0,4.44,0.0,30,19,29,38
Squad value,Czechia,A,21.14,0.0,1.73,0.02,27,36,34,38
Squad value,Canada,B,99.58,58.35,26.36,0.95,14,11,12,12
Squad value,Bosnia and Herzegovina,B,61.66,8.84,3.01,0.0,30,33,31,22
Squad value,Qatar,B,5.47,0.0,0.01,0.0,30,41,42,38
Squad value,Switzerland,B,99.99,32.81,23.35,0.39,19,6,14,13
Squad value,Brazil,C,100.0,69.29,40.49,5.7,7,1,8,8
Squad value,Morocco,C,100.0,29.19,25.45,1.25,13,1,13,16
Squad value,Haiti,C,0.0,0.0,0.0,0.0,30,47,44,38
Squad value,Scotland,C,68.36,1.52,2.47,0.0,30,31,33,32
Squad value,United States,D,100.0,100.0,53.19,5.36,8,1,5,1
Squad value,Paraguay,D,86.07,0.0,6.07,0.01,28,23,26,38
Squad value,Australia,D,83.71,0.0,2.48,0.01,28,26,32,38
Squad value,Turkey,D,0.0,0.0,0.0,0.0,30,47,44,38
Squad value,Germany,E,99.95,66.27,39.83,7.27,5,9,9,10
Squad value,Curacao,E,1.12,0.0,0.0,0.0,30,44,44,38
Squad value,Cote d'Ivoire,E,99.5,30.44,21.75,1.28,12,12,15,15
Squad value,Ecuador,E,78.91,3.29,11.18,0.36,20,30,22,26
Squad value,Netherlands,F,100.0,86.43,43.25,4.86,9,1,7,5
Squad value,Japan,F,83.36,6.08,5.78,0.09,24,27,27,24
Squad value,Sweden,F,96.06,7.23,11.73,0.36,20,18,21,23
Squad value,Tunisia,F,4.44,0.26,0.06,0.0,30,42,41,36
Squad value,Belgium,G,99.02,68.34,34.22,2.02,10,13,10,9
Squad value,Egypt,G,91.85,28.56,5.45,0.0,30,21,28,17
Squad value,Iran,G,18.04,1.53,0.11,0.0,30,38,39,31
Squad value,New Zealand,G,19.49,1.57,0.25,0.0,30,37,37,30
Squad value,Spain,H,97.86,71.96,57.88,13.23,3,15,3,7
Squad value,Cape Verde,H,49.73,2.93,0.62,0.0,30,34,35,27
Squad value,Saudi Arabia,H,35.41,2.12,0.36,0.0,30,35,36,28
Squad value,Uruguay,H,85.5,22.99,20.93,0.85,15,24,16,18
Squad value,France,I,99.91,79.42,59.7,19.16,1,10,2,6
Squad value,Senegal,I,84.74,1.86,18.26,0.8,16,25,17,29
Squad value,Iraq,I,0.66,0.0,0.0,0.0,30,45,44,38
Squad value,Norway,I,98.03,18.72,27.09,1.86,11,14,11,19
Squad value,Argentina,J,99.96,89.06,53.43,6.26,6,8,4,4
Squad value,Algeria,J,82.62,1.03,9.53,0.14,23,28,25,34
Squad value,Austria,J,93.46,9.91,11.15,0.09,24,20,23,20
Squad value,Jordan,J,0.58,0.0,0.0,0.0,30,46,44,38
Squad value,Portugal,K,96.95,58.79,50.75,9.09,4,16,6,11
Squad value,DR Congo,K,67.43,9.1,3.33,0.0,30,32,30,21
Squad value,Uzbekistan,K,14.04,0.36,0.14,0.0,30,40,38,35
Squad value,Colombia,K,96.61,31.75,15.38,0.22,22,17,20,14
Squad value,England,L,99.98,93.11,64.68,17.01,2,7,1,3
Squad value,Croatia,L,86.85,1.51,17.08,0.48,18,22,19,33
Squad value,Ghana,L,80.36,5.34,9.86,0.08,26,29,24,25
Squad value,Panama,L,2.53,0.04,0.01,0.0,30,43,42,37
FIFA ranking,Mexico,A,100.0,100.0,36.91,3.4,6,1,10,1
FIFA ranking,South Africa,A,12.77,0.0,0.06,0.0,29,39,41,41
FIFA ranking,South Korea,A,97.69,0.0,7.27,0.03,22,15,20,41
FIFA ranking,Czechia,A,5.16,0.0,0.21,0.0,29,43,37,41
FIFA ranking,Canada,B,98.93,60.41,21.45,0.18,19,12,15,11
FIFA ranking,Bosnia and Herzegovina,B,16.64,0.85,0.08,0.0,29,38,40,30
FIFA ranking,Qatar,B,50.8,0.0,0.52,0.0,29,33,33,41
