group,rank,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
A,1,Mexico,3,3,0,0,6,0,6,9
A,2,South Africa,3,1,1,1,2,3,-1,4
A,3,South Korea,3,1,0,2,2,3,-1,3
A,4,Czechia,3,0,1,2,2,6,-4,1
B,1,Switzerland,3,2,1,0,7,3,4,7
B,2,Canada,3,1,1,1,8,3,5,4
B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4
B,4,Qatar,3,0,1,2,2,10,-8,1
C,1,Brazil,3,2,1,0,7,1,6,7
C,2,Morocco,3,2,1,0,6,3,3,7
C,3,Scotland,3,1,0,2,1,4,-3,3
C,4,Haiti,3,0,0,3,2,8,-6,0
D,1,United States,3,2,0,1,8,4,4,6
D,2,Australia,3,1,1,1,2,2,0,4
D,3,Paraguay,3,1,1,1,2,4,-2,4
D,4,Turkey,3,1,0,2,3,5,-2,3
E,1,Germany,3,2,0,1,10,4,6,6
E,2,Cote d'Ivoire,3,2,0,1,4,2,2,6
E,3,Ecuador,3,1,1,1,2,2,0,4
E,4,Curacao,3,0,1,2,1,9,-8,1
F,1,Netherlands,3,2,1,0,10,4,6,7
F,2,Japan,3,1,2,0,7,3,4,5
F,3,Sweden,3,1,1,1,7,7,0,4
F,4,Tunisia,3,0,0,3,2,12,-10,0
G,1,Belgium,3,1,2,0,6,2,4,5
G,2,Egypt,3,1,2,0,5,3,2,5
G,3,Iran,3,0,3,0,3,3,0,3
G,4,New Zealand,3,0,1,2,4,10,-6,1
H,1,Spain,3,2,1,0,5,0,5,7
H,2,Cape Verde,3,0,3,0,2,2,0,3
H,3,Uruguay,3,0,2,1,3,4,-1,2
H,4,Saudi Arabia,3,0,2,1,1,5,-4,2
I,1,France,3,3,0,0,10,2,8,9
I,2,Norway,3,2,0,1,8,7,1,6
I,3,Senegal,3,1,0,2,8,6,2,3
I,4,Iraq,3,0,0,3,1,12,-11,0
J,1,Argentina,2,2,0,0,5,0,5,6
J,2,Austria,2,1,0,1,3,3,0,3
J,3,Algeria,2,1,0,1,2,4,-2,3
J,4,Jordan,2,0,0,2,2,5,-3,0
K,1,Colombia,2,2,0,0,4,1,3,6
K,2,Portugal,2,1,1,0,6,1,5,4
K,3,DR Congo,2,0,1,1,1,2,-1,1
K,4,Uzbekistan,2,0,0,2,1,8,-7,0
L,1,England,2,1,1,0,4,2,2,4
L,2,Ghana,2,1,1,0,1,0,1,4
L,3,Croatia,2,1,0,1,3,4,-1,3
L,4,Panama,2,0,0,2,0,2,-2,0
