team,squad_value_eur_millions,squad_size,avg_value_eur_millions,as_of_date
England,1373.2,35,46.19,2026-05-20
France,1553.0,26,56.67,2026-05-20
Spain,1217.0,27,48.37,2026-05-20
Portugal,1006.5,27,35.87,2026-05-20
Germany,982.0,24,39.85,2026-05-20
Brazil,909.2,26,34.95,2026-05-20
Netherlands,814.2,25,30.64,2026-05-20
Argentina,799.5,29,26.25,2026-05-20
Belgium,550.7,26,21.47,2026-05-20
Turkey,473.7,35,14.93,2026-05-20
Cote d'Ivoire,522.1,26,19.80,2026-05-20
Norway,592.0,24,21.00,2026-05-20
Senegal,478.4,28,16.93,2026-05-20
Morocco,489.5,29,15.72,2026-05-20
Sweden,404.3,26,16.75,2026-05-20
Ecuador,368.7,32,11.46,2026-05-20
Uruguay,392.3,28,12.98,2026-05-20
Croatia,387.7,26,13.74,2026-05-20
United States,385.6,27,13.21,2026-05-20
Switzerland,332.6,26,12.22,2026-05-20
Colombia,297.6,26,11.56,2026-05-20
Ghana,237.9,30,9.63,2026-05-20
Japan,280.9,26,10.15,2026-05-20
Austria,232.2,26,9.93,2026-05-20
Algeria,255.8,26,8.76,2026-05-20
Scotland,170.2,26,7.99,2026-05-20
Czechia,188.2,24,7.46,2026-05-20
DR Congo,144.1,26,5.76,2026-05-20
South Korea,137.6,26,5.47,2026-05-20
Paraguay,153.7,25,5.38,2026-05-20
Bosnia and Herzegovina,150.6,26,5.13,2026-05-20
Canada,197.7,26,4.98,2026-05-20
Egypt,110.8,26,4.19,2026-05-20
Mexico,193.8,12,6.97,2026-05-20
Uzbekistan,83.5,40,1.98,2026-05-20
Tunisia,69.7,26,2.56,2026-05-20
Haiti,55.8,26,2.19,2026-05-20
Cape Verde,51.0,26,2.05,2026-05-20
Australia,77.6,26,1.97,2026-05-20
South Africa,44.2,23,1.79,2026-05-20
Iran,32.0,30,1.16,2026-05-20
Panama,34.6,23,1.41,2026-05-20
New Zealand,34.4,26,1.22,2026-05-20
Curacao,25.8,26,1.10,2026-05-20
Saudi Arabia,40.7,23,1.20,2026-05-20
Iraq,20.5,29,0.682,2026-05-20
Qatar,18.4,25,0.717,2026-05-20
Jordan,7.7,26,0.618,2026-05-20
