team,shirt_number,player_name,is_captain,position,age,date_of_birth,nationality,club,caps,goals,market_value_eur,tournament_goals,tournament_assists
Czechia,,Matěj Kovář,0,GK,26,2000-05-17,Czechia,PSV Eindhoven,19,0,8000000,0,0
Czechia,,David Zima,0,DF,25,2000-11-08,Czechia,Slavia Prague,24,1,7000000,0,0
Czechia,,Tomáš Holeš,0,DF,33,1993-03-31,Czechia,Slavia Prague,40,2,1000000,0,0
Czechia,,Robin Hranáč,0,DF,26,2000-01-29,Czechia,TSG Hoffenheim,13,1,10000000,0,0
Czechia,,Vladimír Coufal,0,DF,33,1992-08-22,Czechia,TSG Hoffenheim,61,2,2500000,0,0
Czechia,,Štěpán Chaloupek,0,DF,23,2003-03-08,Czechia,Slavia Prague,4,0,10000000,0,0
Czechia,,Ladislav Krejčí,1,DF,27,1999-04-20,Czechia,Wolverhampton Wanderers,26,5,22000000,1,0
Czechia,,Vladimír Darida,0,MF,35,1990-08-08,Czechia,Hradec Králové,78,8,375000,0,0
Czechia,,Adam Hložek,0,FW,23,2002-07-25,Czechia,TSG Hoffenheim,42,5,10000000,0,0
Czechia,,Patrik Schick,0,FW,30,1996-01-24,Czechia,Bayer Leverkusen,52,25,18000000,0,0
Czechia,,Jan Kuchta,0,FW,29,1997-01-08,Czechia,Sparta Prague,31,3,2700000,0,0
Czechia,,Lukáš Červ,0,MF,25,2001-04-10,Czechia,Viktoria Plzeň,16,2,6000000,0,0
Czechia,,Mojmír Chytil,0,FW,27,1999-04-29,Czechia,Slavia Prague,22,6,4000000,0,0
Czechia,,David Jurásek,0,DF,25,2000-08-07,Czechia,Slavia Prague,17,1,5000000,0,0
Czechia,,Pavel Šulc,0,FW,25,2000-12-29,Czechia,Lyon,20,5,20000000,0,0
Czechia,,Jindřich Staněk,0,GK,30,1996-04-27,Czechia,Slavia Prague,14,0,2000000,0,0
Czechia,,Lukáš Provod,0,MF,29,1996-10-23,Czechia,Slavia Prague,37,3,8000000,0,0
Czechia,,Michal Sadílek,0,MF,27,1999-05-31,Czechia,Slavia Prague,34,1,8000000,1,0
Czechia,,Tomáš Chorý,0,FW,31,1995-01-26,Czechia,Slavia Prague,21,6,2700000,0,0
Czechia,,Jaroslav Zelený,0,DF,33,1992-08-20,Czechia,Sparta Prague,22,0,600000,0,0
Czechia,,David Douděra,0,DF,28,1998-05-31,Czechia,Slavia Prague,16,2,3500000,0,0
Czechia,,Tomáš Souček,0,MF,31,1995-02-27,Czechia,West Ham United,89,17,10000000,0,0
