team,player_id,name,position,date_of_birth,age,nationality
Uruguay,3160,Fernando Muslera,Goalkeeper,1986-06-16,39,Uruguay
Uruguay,30210,Santiago Mele,Goalkeeper,1997-09-06,28,Uruguay
Uruguay,30386,Sergio Rochet,Goalkeeper,1993-03-23,33,Uruguay
Uruguay,3165,Guillermo Varela,Defence,1993-03-24,33,Uruguay
Uruguay,28292,Ronald Araújo,Defence,1999-03-07,27,Uruguay
Uruguay,28326,Sebastían Cáceres,Defence,1999-08-18,26,Uruguay
Uruguay,28426,Matías Viña,Defence,1997-11-09,28,Uruguay
Uruguay,28740,Joaquín Piquerez,Defence,1998-08-24,27,Uruguay
Uruguay,28770,Maximiliano Araújo,Defence,2000-02-15,26,Uruguay
Uruguay,32754,Mathías Olivera,Defence,1997-10-31,28,Uruguay
Uruguay,32767,Santiago Bueno,Defence,1998-11-09,27,Uruguay
Uruguay,213277,José Giménez,Defence,1995-01-20,31,Uruguay
Uruguay,96,Federico Valverde,Midfield,1998-07-22,27,Uruguay
Uruguay,1244,Giorgian De Arrascaeta,Midfield,1994-06-01,32,Uruguay
Uruguay,2041,Rodrigo Bentancur,Midfield,1997-06-25,28,Uruguay
Uruguay,28549,Manuel Ugarte,Midfield,2001-04-11,25,Uruguay
Uruguay,28618,Brian Rodríguez,Midfield,2000-05-20,26,Uruguay
Uruguay,121007,Rodrigo Zalazar,Midfield,1999-08-12,26,Uruguay
Uruguay,122506,Facundo Pellistri,Midfield,2001-12-20,24,Uruguay
Uruguay,130957,Emiliano Martínez,Midfield,1999-08-17,26,Uruguay
Uruguay,152435,Juan Sanabria,Midfield,2000-03-29,26,Uruguay
Uruguay,168795,Nicolas de la Cruz,Midfield,1997-06-01,29,Uruguay
Uruguay,11206,Rodrigo Aguirre,Offence,1994-10-01,31,Uruguay
Uruguay,28612,Darwin Núñez,Offence,1999-06-24,26,Uruguay
Uruguay,28614,Agustín Canobbio,Offence,1998-10-01,27,Uruguay
Uruguay,112678,Federico Viñas,Offence,1998-06-30,27,Uruguay
Germany,316,Oliver Baumann,Goalkeeper,1990-06-02,36,Germany
Germany,341,Manuel Neuer,Goalkeeper,1986-03-27,40,Germany
Germany,6491,Alexander Nübel,Goalkeeper,1996-09-30,29,Germany
Germany,149,Jonathan Tah,Defence,1996-02-11,30,Germany
Germany,379,Waldemar Anton,Defence,1996-07-20,29,Germany
Germany,3177,Antonio Rüdiger,Defence,1993-03-03,33,Germany
Germany,9905,David Raum,Defence,1998-04-22,28,Germany
Germany,75539,Nico Schlotterbeck,Defence,1999-12-01,26,Germany
Germany,142732,Malick Thiaw,Defence,2001-08-08,24,Germany
Germany,184533,Nathaniel Brown,Defence,2003-06-16,22,Germany
Germany,320,Nadiem Amiri,Midfield,1996-10-27,29,Germany
Germany,359,Joshua Kimmich,Midfield,1995-02-08,31,Germany
Germany,3181,Leon Goretzka,Midfield,1995-02-06,31,Germany
Germany,8273,Pascal Groß,Midfield,1991-06-15,34,Germany
Germany,19334,Florian Wirtz,Midfield,2003-05-03,23,Germany
Germany,101074,Felix Kalu Nmecha,Midfield,2000-10-10,25,Germany
Germany,128565,Angelo Stiller,Midfield,2001-04-04,25,Germany
Germany,144393,Jamal Musiala,Midfield,2003-02-26,23,Germany
Germany,202665,Aleksandar Pavlović,Midfield,2004-05-03,22,Germany
Germany,277592,Lennart Karl,Midfield,2008-02-22,18,Germany
Germany,171,Kai Havertz,Offence,1999-06-11,27,Germany
Germany,3184,Leroy Sané,Offence,1996-01-11,30,Germany
Germany,6928,Deniz Undav,Offence,1996-07-19,29,Germany
Germany,123333,Jamie Leweling,Offence,2001-02-26,25,Germany
Germany,133547,Nick Woltemade,Offence,2002-02-14,24,Germany
Germany,133903,Maximilian Beier,Offence,2002-10-17,23,Germany
Spain,4832,David Raya,Goalkeeper,1995-09-15,30,Spain
Spain,32570,Unai Simón,Goalkeeper,1997-06-11,29,Spain
Spain,152506,Joan García,Goalkeeper,2001-05-04,25,Spain
Spain,7884,Aymeric Laporte,Defence,1994-05-27,32,Spain
Spain,15863,Cucurella,Defence,1998-07-22,27,Spain
Spain,16739,Alejandro Grimaldo,Defence,1995-09-20,30,Spain
Spain,81037,Pedro Porro,Defence,1999-09-13,26,Spain
Spain,101345,Eric García,Defence,2001-01-09,25,Spain
Spain,176745,Marc Pubill,Defence,2003-06-20,22,Spain
Spain,217540,Pau Cubarsí,Defence,2007-01-22,19,Spain
Spain,22,Fabián Ruiz,Midfield,1996-04-03,30,Spain
Spain,70,Marcos Llorente,Midfield,1995-01-30,31,Spain
Spain,3199,Rodri,Midfield,1996-06-22,29,Spain
Spain,7935,Mikel Merino,Midfield,1996-06-22,29,Spain
Spain,23132,Dani Olmo,Midfield,1998-05-07,28,Spain
Spain,33154,Ferrán Torres,Midfield,2000-02-29,26,Spain
Spain,115035,Martín Zubimendi,Midfield,1999-02-02,27,Spain
Spain,133860,Pedri,Midfield,2002-11-25,23,Spain
Spain,171992,Pablo Gavira,Midfield,2004-08-05,21,Spain
Spain,180137,Mikel Oyarzabal,Midfield,1997-04-21,29,Spain
Spain,213278,Álex Baena,Midfield,2001-07-20,24,Spain
Spain,32056,Borja Iglesias,Offence,1993-01-17,33,Spain
Spain,152505,Yeremi Pino,Offence,2002-10-20,23,Spain
Spain,157135,Nico Williams,Offence,2002-07-12,23,Spain
Spain,202283,Lamine Yamal,Offence,2007-07-13,18,Spain
Spain,273423,Víctor Muñoz,Offence,2003-07-13,22,Spain
Paraguay,28294,Gastón Olveira,Goalkeeper,1993-04-21,33,Paraguay
Paraguay,169622,Roberto Fernández,Goalkeeper,1988-03-29,38,Paraguay
Paraguay,270728,Orlando Gill,Goalkeeper,2000-06-11,26,Paraguay
Paraguay,1436,Fabián Balbuena,Defence,1991-08-23,34,Paraguay
Paraguay,1741,Gustavo Gómez,Defence,1993-05-06,33,Paraguay
Paraguay,8395,Júnior Alonso,Defence,1993-02-09,33,Paraguay
Paraguay,46491,Omar Alderete,Defence,1996-12-26,29,Paraguay
Paraguay,141752,Juan Cáceres,Defence,2000-06-01,26,Paraguay
Paraguay,172169,Gustavo Velázquez,Defence,1991-04-17,35,Paraguay
Paraguay,178832,José Canale,Defence,1996-07-20,29,Paraguay
Paraguay,274608,Alexandro Maidana,Defence,2005-07-26,20,Paraguay
Paraguay,46467,Andrés Cubas,Midfield,1996-05-11,30,Paraguay
Paraguay,57316,Kaku,Midfield,1995-01-11,31,Paraguay
Paraguay,76861,Miguel Almirón,Midfield,1994-02-10,32,Paraguay
Paraguay,119594,Mauricio,Midfield,2001-06-22,24,Paraguay
Paraguay,122397,Braian Ojeda,Midfield,2000-06-27,25,Paraguay
Paraguay,165622,Matías Galarza,Midfield,2002-02-11,24,Paraguay
Paraguay,168954,Damian Bobadilla,Midfield,2001-07-11,24,Paraguay
Paraguay,178951,Diego Gómez,Midfield,2003-03-27,23,Paraguay
Paraguay,14,Antonio Sanabria,Offence,1996-03-04,30,Paraguay
Paraguay,59693,Gabriel Ávalos,Offence,1990-10-12,35,Paraguay
Paraguay,114353,Isidro Pitta,Offence,1999-08-14,26,Paraguay
Paraguay,140647,Ramón Sosa,Offence,1999-08-31,26,Paraguay
Paraguay,168949,Julio Enciso,Offence,2004-01-23,22,Paraguay
Paraguay,191772,Gustavo Caballero,Offence,2001-09-21,24,Paraguay
Paraguay,250206,Alex Arce,Offence,1995-06-16,30,Paraguay
Argentina,6,Géronimo Rulli,Goalkeeper,1992-05-20,34,Argentina
Argentina,3141,Emiliano Martínez,Goalkeeper,1992-09-02,33,Argentina
Argentina,46554,Juan Musso,Goalkeeper,1994-05-06,32,Argentina
Argentina,3205,Nicolás Otamendi,Defence,1988-02-12,38,Argentina
Argentina,3208,Nicolás Tagliafico,Defence,1992-08-31,33,Argentina
Argentina,11667,Gonzalo Montiel,Defence,1997-01-01,29,Argentina
Argentina,45735,Christian Romero,Defence,1998-04-27,28,Argentina
Argentina,46125,Facundo Medina,Defence,1999-05-28,27,Argentina
Argentina,46451,Lisandro Martínez,Defence,1998-01-18,28,Argentina
Argentina,46452,Nahuel Molina,Defence,1998-04-06,28,Argentina
Argentina,82020,Leonardo Balerdi,Defence,1999-01-26,27,Argentina
Argentina,170261,Valentin Barco,Defence,2004-07-23,21,Argentina
Argentina,2127,Rodrigo de Paul,Midfield,1994-05-24,32,Argentina
Argentina,3214,Leandro Paredes,Midfield,1994-06-29,31,Argentina
Argentina,3216,Giovani Lo Celso,Midfield,1996-04-09,30,Argentina
Argentina,11720,Exequiel Palacios,Midfield,1998-10-05,27,Argentina
Argentina,45681,Alexis Mac Allister,Midfield,1998-12-24,27,Argentina
Argentina,79953,Thiago Almada,Midfield,2001-04-26,25,Argentina
Argentina,102603,Enzo Fernández,Midfield,2001-01-17,25,Argentina
Argentina,203511,Nico Paz,Midfield,2004-09-08,21,Argentina
Argentina,3218,Lionel Messi,Offence,1987-06-24,38,Argentina
Argentina,3220,Lautaro Martínez,Offence,1997-08-22,28,Argentina
Argentina,45680,Nicolás González,Offence,1998-04-06,28,Argentina
Argentina,98571,Julián Álvarez,Offence,2000-01-31,26,Argentina
Argentina,170698,José Manuel López,Offence,2000-12-06,25,Argentina
Argentina,171964,Giuliano Simeone,Offence,2002-12-18,23,Argentina
Ghana,495,Lawrence Ati-Zigi,Goalkeeper,1996-11-29,29,Ghana
Ghana,137390,Joseph Anang,Goalkeeper,2000-06-08,26,England
Ghana,277336,Benjamin Asare,Goalkeeper,1992-07-13,33,Ghana
Ghana,6499,Abdul Rahman Baba,Defence,1994-07-02,31,Ghana
Ghana,7442,Derrick Luckassen,Defence,1995-07-03,30,Netherlands
Ghana,16340,Gideon Mensah,Defence,1998-07-18,27,Ghana
Ghana,25641,Abdul Mumin,Defence,1998-06-06,28,Ghana
Ghana,128235,Jerome Opoku,Defence,1998-10-14,27,Ghana
Ghana,147893,Alidu Seidu,Defence,2000-06-04,26,Ghana
Ghana,153924,Marvin Senaya,Defence,2001-01-28,25,Ghana
Ghana,191269,Jonas Adjei Adjetey,Defence,2003-12-13,22,Ghana
Ghana,202896,Kojo Peprah Oppong,Defence,2004-06-04,22,Ghana
Ghana,110,Thomas Partey,Midfield,1993-06-13,32,Ghana
Ghana,8470,Elisha Owusu,Midfield,1997-11-07,28,Ghana
Ghana,79960,Kwasi Sibo,Midfield,1998-06-24,27,Ghana
Ghana,175747,Augustine Boakye,Midfield,2000-11-03,25,Ghana
Ghana,262187,Caleb Yirenkyi,Midfield,2006-01-15,20,Ghana
Ghana,4417,Antoine Semenyo,Offence,2000-01-07,26,Ghana
Ghana,6389,Brandon Thomas-Asante,Offence,1998-12-29,27,Ghana
Ghana,7984,Jordan Ayew,Offence,1991-09-11,34,Ghana
Ghana,32629,Iñaki Williams,Offence,1994-06-15,31,Ghana
Ghana,142140,Kamal Deen Sulemana,Offence,2002-02-15,24,Ghana
Ghana,184726,Ernest Nuamah,Offence,2003-11-01,22,Ghana
Ghana,187162,Abdul Issahaku,Offence,2004-03-08,22,Ghana
Ghana,193596,Christopher Bonsu Baah,Offence,2004-12-14,21,Ghana
Ghana,218805,Prince Adu,Offence,2003-09-23,22,Ghana
Brazil,1170,Weverton,Goalkeeper,1987-12-13,38,Brazil
Brazil,1795,Alisson Becker,Goalkeeper,1992-10-02,33,Brazil
Brazil,3222,Ederson,Goalkeeper,1993-08-17,32,Brazil
Brazil,1081,Roger Ibañez,Defence,1998-11-23,27,Brazil
