team,player_name,market_value_eur
France,Robin Risser,30000000
France,Mike Maignan,20000000
France,Brice Samba,7000000
France,William Saliba,100000000
France,Dayot Upamecano,70000000
France,Maxence Lacroix,50000000
France,Ibrahima Konaté,45000000
France,Theo Hernández,20000000
France,Lucas Hernández,18000000
France,Lucas Digne,6000000
France,Jules Koundé,65000000
France,Malo Gusto,35000000
France,Aurélien Tchouaméni,75000000
France,N'Golo Kanté,4000000
France,Warren Zaïre-Emery,80000000
France,Manu Koné,50000000
France,Adrien Rabiot,18000000
France,Rayan Cherki,90000000
France,Bradley Barcola,70000000
France,Michael Olise,150000000
France,Désiré Doué,120000000
France,Maghnes Akliouche,50000000
France,Kylian Mbappé,200000000
France,Ousmane Dembélé,100000000
France,Marcus Thuram,50000000
France,Jean-Philippe Mateta,30000000
England,Dean Henderson,28000000
England,James Trafford,25000000
England,Jordan Pickford,13000000
England,Marc Guéhi,70000000
England,Jarell Quansah,45000000
England,Ezri Konsa,40000000
England,John Stones,12000000
England,Dan Burn,4000000
England,Nico O'Reilly,70000000
England,Djed Spence,30000000
England,Reece James,60000000
England,Tino Livramento,45000000
England,Jordan Henderson,1200000
England,Declan Rice,120000000
England,Elliot Anderson,75000000
England,Kobbie Mainoo,70000000
England,Jude Bellingham,140000000
England,Morgan Rogers,90000000
England,Eberechi Eze,65000000
England,Anthony Gordon,65000000
England,Marcus Rashford,40000000
England,Bukayo Saka,110000000
England,Noni Madueke,50000000
England,Harry Kane,60000000
England,Ollie Watkins,25000000
England,Ivan Toney,20000000
Spain,Joan García,40000000
Spain,David Raya,30000000
Spain,Unai Simón,25000000
Spain,Pau Cubarsí,80000000
Spain,Eric García,35000000
Spain,Marc Pubill,28000000
Spain,Aymeric Laporte,9000000
Spain,Marc Cucurella,50000000
Spain,Alejandro Grimaldo,20000000
Spain,Pedro Porro,35000000
Spain,Marcos Llorente,22000000
Spain,Martín Zubimendi,75000000
Spain,Rodri,50000000
Spain,Pedri,150000000
Spain,Fabián Ruiz,30000000
Spain,Gavi,30000000
Spain,Mikel Merino,25000000
Spain,Dani Olmo,60000000
Spain,Nico Williams,50000000
Spain,Álex Baena,45000000
Spain,Víctor Muñoz,20000000
Spain,Lamine Yamal,200000000
Spain,Yéremy Pino,30000000
Spain,Ferran Torres,50000000
Spain,Mikel Oyarzabal,25000000
Spain,Borja Iglesias,3000000
Portugal,Diogo Costa,40000000
Portugal,Rui Silva,7000000
Portugal,José Sá,3500000
Portugal,Rúben Dias,55000000
Portugal,Gonçalo Inácio,40000000
Portugal,Tomás Araújo,30000000
Portugal,Renato Veiga,25000000
Portugal,Nuno Mendes,80000000
Portugal,Matheus Nunes,50000000
Portugal,Diogo Dalot,30000000
Portugal,João Cancelo,9000000
Portugal,Nélson Semedo,6000000
Portugal,Vitinha,140000000
Portugal,Rúben Neves,25000000
Portugal,Samú Costa,15000000
Portugal,João Neves,140000000
Portugal,Francisco Trincão,40000000
Portugal,Bruno Fernandes,35000000
Portugal,Bernardo Silva,22000000
Portugal,Rafael Leão,50000000
Portugal,Gonçalo Guedes,6000000
Portugal,Pedro Neto,60000000
Portugal,Francisco Conceição,30000000
Portugal,João Félix,28000000
Portugal,Gonçalo Ramos,30000000
Portugal,Cristiano Ronaldo,10000000
Germany,Alexander Nübel,12000000
Germany,Manuel Neuer,4000000
Germany,Oliver Baumann,2500000
Germany,Nico Schlotterbeck,55000000
Germany,Malick Thiaw,45000000
Germany,Jonathan Tah,28000000
Germany,Waldemar Anton,18000000
Germany,Antonio Rüdiger,9000000
Germany,Nathaniel Brown,40000000
Germany,David Raum,25000000
Germany,Aleksandar Pavlovic,90000000
Germany,Angelo Stiller,45000000
Germany,Joshua Kimmich,35000000
Germany,Felix Nmecha,50000000
Germany,Nadiem Amiri,17000000
Germany,Leon Goretzka,12000000
Germany,Pascal Groß,2500000
Germany,Jamal Musiala,100000000
Germany,Florian Wirtz,100000000
Germany,Lennart Karl,60000000
Germany,Jamie Leweling,40000000
Germany,Leroy Sané,20000000
Germany,Kai Havertz,55000000
Germany,Nick Woltemade,55000000
Germany,Maximilian Beier,40000000
Germany,Deniz Undav,22000000
Brazil,Alisson,15000000
Brazil,Ederson,10000000
Brazil,Weverton,700000
Brazil,Gabriel,75000000
Brazil,Bremer,35000000
Brazil,Marquinhos,28000000
Brazil,Roger Ibañez,18000000
Brazil,Léo Pereira,12000000
Brazil,Danilo,2000000
Brazil,Douglas Santos,7500000
Brazil,Alex Sandro,1000000
Brazil,Wesley,40000000
Brazil,Fabinho,12000000
Brazil,Casemiro,6000000
Brazil,Bruno Guimarães,70000000
Brazil,Danilo,32000000
Brazil,Lucas Paquetá,32000000
Brazil,Neymar,8000000
Brazil,Vinicius Junior,150000000
Brazil,Raphinha,80000000
Brazil,Matheus Cunha,75000000
Brazil,Gabriel Martinelli,45000000
Brazil,Rayan,60000000
Brazil,Luiz Henrique,24000000
Brazil,Igor Thiago,65000000
Brazil,Endrick,40000000
Netherlands,Bart Verbruggen,40000000
Netherlands,Robin Roefs,28000000
Netherlands,Mark Flekken,6000000
Netherlands,Micky van de Ven,50000000
Netherlands,Jan Paul van Hecke,45000000
Netherlands,Virgil van Dijk,15000000
Netherlands,Nathan Aké,12000000
Netherlands,Jorrel Hato,40000000
Netherlands,Jurriën Timber,70000000
Netherlands,Mats Wieffer,25000000
Netherlands,Denzel Dumfries,25000000
Netherlands,Ryan Gravenberch,80000000
Netherlands,Teun Koopmeiners,14000000
Netherlands,Marten de Roon,3200000
Netherlands,Tijjani Reijnders,50000000
Netherlands,Frenkie de Jong,45000000
Netherlands,Quinten Timber,25000000
Netherlands,Justin Kluivert,25000000
Netherlands,Guus Til,15000000
Netherlands,Cody Gakpo,60000000
Netherlands,Crysencio Summerville,35000000
Netherlands,Noa Lang,22000000
Netherlands,Donyell Malen,45000000
Netherlands,Brian Brobbey,30000000
Netherlands,Memphis Depay,7000000
Netherlands,Wout Weghorst,2000000
Argentina,Emiliano Martínez,12000000
Argentina,Gerónimo Rulli,6000000
Argentina,Juan Musso,3000000
Argentina,Cristian Romero,45000000
Argentina,Lisandro Martínez,40000000
Argentina,Leonardo Balerdi,18000000
Argentina,Facundo Medina,18000000
Argentina,Nicolás Otamendi,1000000
Argentina,Nicolás Tagliafico,4000000
Argentina,Nahuel Molina,15000000
Argentina,Gonzalo Montiel,4500000
Argentina,Leandro Paredes,5000000
Argentina,Enzo Fernández,90000000
Argentina,Alexis Mac Allister,70000000
Argentina,Valentín Barco,40000000
Argentina,Exequiel Palacios,25000000
Argentina,Rodrigo De Paul,14000000
Argentina,Nico Paz,80000000
Argentina,Giovani Lo Celso,10000000
Argentina,Nico González,24000000
Argentina,Thiago Almada,20000000
Argentina,Giuliano Simeone,40000000
Argentina,Lionel Messi,15000000
Argentina,Julián Álvarez,90000000
Argentina,Lautaro Martínez,85000000
Argentina,José Manuel López,25000000
Norway,Sander Tangvik,3000000
Norway,Egil Selvik,1500000
Norway,Ørjan Nyland,900000
Norway,Kristoffer Ajer,18000000
Norway,Leo Østigård,13000000
Norway,Torbjørn Heggem,13000000
Norway,Henrik Falchener,6000000
Norway,Sondre Langås,4000000
Norway,David Møller Wolfe,8000000
Norway,Fredrik Bjørkan,3500000
Norway,Julian Ryerson,25000000
Norway,Marcus Pedersen,3500000
Norway,Sander Berge,25000000
Norway,Patrick Berg,8000000
Norway,Fredrik Aursnes,15000000
Norway,Kristian Thorstvedt,12000000
Norway,Morten Thorsby,2800000
Norway,Martin Ødegaard,65000000
Norway,Thelo Aasgaard,2800000
