team,player_name,position,age,date_of_birth,caps,goals,club
Czech Republic,Matěj Kovář,GK,26,2000-05-17,19,0,PSV Eindhoven
Czech Republic,David Zima,DF,25,2000-11-08,24,1,Slavia Prague
Czech Republic,Tomáš Holeš,DF,33,1993-03-31,40,2,Slavia Prague
Czech Republic,Robin Hranáč,DF,26,2000-01-29,13,1,TSG Hoffenheim
Czech Republic,Vladimír Coufal,DF,33,1992-08-22,61,2,TSG Hoffenheim
Czech Republic,Štěpán Chaloupek,DF,23,2003-03-08,4,0,Slavia Prague
Czech Republic,Ladislav Krejčí (captain),DF,27,1999-04-20,26,5,Wolverhampton Wanderers
Czech Republic,Vladimír Darida,MF,35,1990-08-08,78,8,Hradec Králové
Czech Republic,Adam Hložek,FW,23,2002-07-25,42,5,TSG Hoffenheim
Czech Republic,Patrik Schick,FW,30,1996-01-24,52,25,Bayer Leverkusen
Czech Republic,Jan Kuchta,FW,29,1997-01-08,31,3,Sparta Prague
Czech Republic,Lukáš Červ,MF,25,2001-04-10,16,2,Viktoria Plzeň
Czech Republic,Mojmír Chytil,FW,27,1999-04-29,22,6,Slavia Prague
Czech Republic,David Jurásek,DF,25,2000-08-07,17,1,Slavia Prague
Czech Republic,Pavel Šulc,FW,25,2000-12-29,20,5,Lyon
Czech Republic,Jindřich Staněk,GK,30,1996-04-27,14,0,Slavia Prague
Czech Republic,Lukáš Provod,MF,29,1996-10-23,37,3,Slavia Prague
Czech Republic,Michal Sadílek,MF,27,1999-05-31,34,1,Slavia Prague
Czech Republic,Tomáš Chorý,FW,31,1995-01-26,21,6,Slavia Prague
Czech Republic,Jaroslav Zelený,DF,33,1992-08-20,22,0,Sparta Prague
Czech Republic,David Douděra,DF,28,1998-05-31,16,2,Slavia Prague
Czech Republic,Tomáš Souček,MF,31,1995-02-27,89,17,West Ham United
Czech Republic,Lukáš Horníček,GK,23,2002-07-13,1,0,Braga
Czech Republic,Alexandr Sojka,MF,23,2003-04-02,1,0,Viktoria Plzeň
Czech Republic,Hugo Sochůrek,MF,18,2008-06-07,1,0,Sparta Prague
Czech Republic,Denis Višinský,FW,23,2003-03-21,1,0,Viktoria Plzeň
Mexico,Raúl Rangel,GK,26,2000-02-25,13,0,Guadalajara
Mexico,Jorge Sánchez,DF,28,1997-12-10,58,3,PAOK
Mexico,César Montes,DF,29,1997-02-24,66,4,Lokomotiv Moscow
Mexico,Edson Álvarez (captain),DF,28,1997-10-24,97,7,Fenerbahçe
Mexico,Johan Vásquez,DF,27,1998-10-22,45,2,Genoa
Mexico,Érik Lira,MF,26,2000-05-08,24,0,Cruz Azul
Mexico,Luis Romo,MF,31,1995-06-05,62,4,Guadalajara
Mexico,Álvaro Fidalgo,MF,29,1997-04-09,3,0,Real Betis
Mexico,Raúl Jiménez,FW,35,1991-05-05,123,44,Fulham
Mexico,Alexis Vega,FW,28,1997-11-25,51,7,Toluca
Mexico,Santiago Giménez,FW,25,2001-04-18,47,6,Milan
Mexico,Carlos Acevedo,GK,30,1996-04-19,7,0,Santos Laguna
Mexico,Guillermo Ochoa,GK,40,1985-07-13,152,0,AEL Limassol
Mexico,Armando González,FW,23,2003-04-20,7,1,Guadalajara
Mexico,Israel Reyes,DF,26,2000-05-23,33,2,América
Mexico,Julián Quiñones,FW,29,1997-03-24,21,2,Al-Qadsiah
Mexico,Orbelín Pineda,MF,30,1996-03-24,91,12,AEK Athens
Mexico,Obed Vargas,MF,20,2005-08-05,6,0,Atlético Madrid
Mexico,Gilberto Mora,MF,17,2008-10-14,7,0,Tijuana
Mexico,Mateo Chávez,DF,22,2004-05-12,9,0,AZ
Mexico,César Huerta,FW,25,2000-12-03,26,3,Anderlecht
Mexico,Guillermo Martínez,FW,31,1995-03-15,11,3,UNAM
